bairro;regiao
Aberta Dos Morros ;Sul
Agronomia   ;Lomba do Pinheiro
Anchieta   ;Humaitá/Navegantes
Arquipelago   ;Ilhas
Auxiliadora   ;Centro
Azenha   ;Centro
Bela Vista  ;Centro
Belem Novo  ;Extremo-sul
Belem Velho  ;Gloria
Boa Vista  ;Noroeste
Boa Vista do Sul;Extremo-sul
Bom Fim  ;Centro
Bom Jesus  ;Leste
Camaqua   ;Centro Sul
Campo Novo  ;Centro Sul
Cascata   ;Gloria
Cavalhada   ;Centro Sul
Centro Historico  ;Centro
Chacara Das Pedras ;Leste
Chapeu Do Sol ;Extremo-sul
Cidade Baixa  ;Centro
Coronel Aparicio Borges;Partenon
Costa E Silva ;Eixo Baltazar
Cristal   ;Cristal
Cristo Redentor  ;Noroeste
Espirito Santo  ;Sul
Extrema;Extremo-sul
Farrapos   ;Humaitá/Navegantes
Farroupilha   ;Centro
Floresta   ;Centro
Gloria   ;Gloria
Guaruja   ;Sul
Higienopolis   ;Noroeste
Hipica   ;Sul
Humaita   ;Humaitá/Navegantes
Independencia   ;Centro
Ipanema   ;Sul
Jardim Botanico  ;Centro
Jardim Carvalho  ;Leste
Jardim Do Salso   ;Leste
Jardim Floresta;Noroeste
Jardim Isabel;Sul
Jardim Itu  ;Eixo Baltazar
Jardim Itu Sabara ;Eixo Baltazar
Jardim Leopoldina  ;Eixo Baltazar
Jardim Lindoia  ;Noroeste
Jardim Sabara  ;Leste
Jardim Sao Pedro ;Noroeste
Lageado   ;Extremo-sul
Lami   ;Extremo-sul
Lomba Do Pinheiro ;Lomba do Pinheiro
Marcílio Dias;Humaitá/Navegantes
Mario Quintana  ;Nordeste
Medianeira   ;Cruzeiro
Menino Deus  ;Centro
Moinhos De Vento ;Centro
Mont Serrat  ;Centro
Morro Santana  ;Leste
Navegantes   ;Humaitá/Navegantes
Nonoai   ;Centro Sul
Parque Santa Fe ;Rubem Berta  
Partenon   ;Partenon
Passo Da Areia ;Noroeste
Passo Das Pedras ;Eixo Baltazar
Pedra Redonda  ;Sul
Petropolis   ;Centro
Pitinga;Restinga
Ponta Grossa  ;Extremo-sul
Praia De Belas   ;Centro
Restinga   ;Restinga
Rio Branco  ;Centro
Rubem Berta  ;Eixo Baltazar
Santa Cecília;Centro
Santa Maria Goretti ;Noroeste
Santa Rosa De Lima;Norte
Santa Tereza  ;Cruzeiro
Santana   ;Centro
Santo Antonio  ;Partenon
São Caetano;Extremo-sul
Sao Geraldo  ;Humaitá/Navegantes
Sao Joao  ;Noroeste
São Sebastião;Noroeste
Sarandi   ;Norte
Serraria   ;Sul
Sétimo Céu;Sul
Teresopolis   ;Centro Sul
Tres Figueiras  ;Leste
Tristeza   ;Sul
Vila Assuncao  ;Sul
Vila Conceicao  ;Sul
Vila Ipiranga  ;Noroeste
Vila Jardim   ;Leste
Vila Joao Pessoa ;Partenon
Vila Nova  ;Centro Sul
Vila São José;Partenon
