buffet;end;bairro;aval;qtd;lat;long
Ioiô Três Figueiras;Rua Luiz Voelcker, 260;Tres Figueiras  ;4.8;592;-30.036581;-51.171665
Kids Choice;Rua Carlos Trein Filho, 1105;Bela Vista  ;4.6;290;-30.031685;-51.186966
Pirueta Festas;Rua Dr. Campos Velho, 1137;Cristal   ;4.6;296;-30.092408;-51.234998
Ioiô Moinhos;Rua Dr. Timóteo, 487;Moinhos De Vento ;4.8;111;-30.019400;-51.200320
Funnykito Festas;Av. Bernardino Silveira Amorim, 124;Sarandi   ;4.3;132;-29.981456;-51.113131
Brincalhão Nilo;Av. Dr. Nilo Peçanha, 1600;Boa Vista  ;4.6;524;-30.027663;-51.175404
Loft 313;Rua Líbero Badaró, 313;Boa Vista  ;4.6;181;-30.020078;-51.171842
Floresta Malukete;R. José Scutari, 112 ;Passo Da Areia ;4.2;118;-30.017471;-51.169767
Confete;Av. Umbu, 643;Passo Da Areia ;4.7;494;-30.014739;-51.162880
Rola Festa;Av. Protásio Alves, 1898;Petropolis   ;4.8;472;-30.041943;-51.190267
Festou Festas;Av. Sertório, 6799;Sarandi   ;4.8;172;-29.997758;-51.138865
MinniLuxo ;Rua Presidente Juarez, 340;São Sebastião;4.6;278;-30.002771;-51.144969
Hello Party Gallery;Doutor Prudente de Moraes, 592;Tres Figueiras  ;4.9;11;-30.028636;-51.165293
Jungle Kids;Av Cristovão Colombo,1722;Floresta   ;4.8;71;-30.017428;-51.204045
Toys Passo da Areia;Bezerra de Menezes, 146;Passo Da Areia ;4.4;152;-30.013075;-51.168499
Com Festa;Antônio Joaquim Mesquita, 196;Passo Da Areia ;4.7;315;-30.012219;-51.161752
Hopi Casa de Festas;Furriel Luiz Antônio de Vargas, 174;Bela Vista  ;4.3;158;-30.027533;-51.183544
Mário Kids;Rua Dona Inocência, 48;Jardim Botanico  ;4.4;200;-30.054933;-51.181805
Brincalhão Menino Deus;José de Alencar, 713;Menino Deus  ;4.7;673;-30.059695;-51.224704
Boom Mania Hipica;Edgar Píres de Castro, 1685;Hipica   ;4.6;36;-30.154478;-51.174933
Boom Mania Ipiranga;Av Ipiranga, 8165;Jardim Carvalho  ;4.6;570;-30.056796;-51.155481
Boom Mania ; Av. Wenceslau Escobar, 1823;Tristeza   ;4.5;113;-30.103928;-51.253739
Toy House;Av. Getulio Vargas, 1013;Menino Deus  ;4.5;377;-30.052745;-51.222568
Vale Encantado;Av. Bastian, 285;Menino Deus  ;4.3;106;-30.050268;-51.225206
Magia das Festas;Av. Gen. Emílio Lúcio Esteves, 289;Santa Maria Goretti ;4.7;170;-30.006001;-51.178601
Megafesta Garden;Av. Eng. Alfredo Corrêa Daudt, 485;Boa Vista  ;4.5;230;-30.023502;-51.180296
Yapo Casa de Festas;Av. Saturnino de Brito, 327;Vila Jardim   ;4.6;52;-30.038048;-51.153657
Full House Festas;Avenida Protásio Alves, 5.500;Vila Jardim   ;4.6;333;-30.040241;-51.156374
P3 Festas; Av. da Serraria, 580;Espirito Santo  ;4.6;351;-30.148464;-51.216891
Estrela Mágica;Av. Ipiranga, 8233;Partenon   ;4.5;223;-30.056955;-51.154651
Petra Eventos;Rua Jari, 180;Passo Da Areia ;4.4;277;-30.012500;-51.169278
Pé de Moleque;Rua Caju, 74;Petropolis   ;5.0;2;-30.043519;-51.181583
Casa Alegre; R. Gonçalves Dias, 1039 ;Menino Deus  ;4.5;213;-30.058913;-51.221773
Tartaruguinha Verde Festas;Av. Cel. Marcos, 1919;Pedra Redonda  ;4.7;263;-30.129510;-51.240254
Guma Festas;R. Plácido de Castro, 112;Azenha   ;4.7;570;-30.051734;-51.210756
Mundo Kisara; R. Mariz e Barros, 104 ;Petropolis   ;4.9;42;-30.045025;-51.182505
