Escola;Endereço;;;Dependência Administrativa;Porte da Escola;Classificação
ESCOLA INFANTIL ARCO IRIS;Avenida Juca Batista, 21;Ipanema   ; 91760-140 Porto Alegre - RS;Privada;<50;1
EEI AQUARELA DO SABER;Rua Maestro Mendanha, 240;Santana   ; 90620-160 Porto Alegre - RS;Privada;<50;1
EEI ABC DA INFANCIA;Rua Frederico Etzberger, 301;Nonoai   ; 91720-510 Porto Alegre - RS;Privada;<50;1
EEI KANGURU FELIZ;Rua Luzitana, 483;Higienopolis   ; 90520-080 Porto Alegre - RS;Privada;<50;1
VILLA KIDS;Rua Regente, 176;Petropolis   ; 90470-170 Porto Alegre - RS;Privada;<50;1
IEI CRECHE DO CORACAO;Rua Rio Maria, 207;Cascata   ; 91712-270 Porto Alegre - RS;Privada;<50;1
EEI TURMA DA MAGALI;Adao Pretto, 4967;Lomba Do Pinheiro ; 91570-735 Porto Alegre - RS;Privada;<50;1
EEI PEQUENOS BRILHANTES;Avenida Baltazar De Oliveira Garcia, 4660;Rubem Berta   ; 91180-000 Porto Alegre - RS;Privada;<50;1
INST EDUC INF BILINGUE UP KIDS SCHOOL;Alameda Emilio De Menezes, 100;Tres Figueiras  ; 91340-360 Porto Alegre - RS;Privada;<50;1
EEI CAMBALHOTA KIDS;Rua Dr Voltaire Pires, 617;Santo Antonio   ; 90610-250 Porto Alegre - RS;Privada;<50;1
EEI GENTE MIUDA;Avenida Benno Mentz, 215;Vila Ipiranga  ; 91370-020 Porto Alegre - RS;Privada;<50;1
EEI SOBRADINHO ALEGRE;Avenida Coronel Lucas De Oliveira, 1927;Petropolis   ; 90460-001 Porto Alegre - RS;Privada;<50;1
EEI PAMPEANO;Rua Pedro Ivo, 88;Mont Serrat  ; 90450-210 Porto Alegre - RS;Privada; 51 e 200;2
EEI PAIS E FILHOS;Rua Silveiro, 841;Menino Deus  ; 90850-170 Porto Alegre - RS;Privada; 51 e 200;2
EEI MUNDO MAGICO DA ALEGRIA;Rua Cirino Prunes, 292;Espirito Santo  ; 91770-210 Porto Alegre - RS;Privada; 51 e 200;2
EEI ALEGRIA DE CRIANCA;Av Alcides Maia, 259;Sarandi   ; 91130-700 Porto Alegre - RS;Privada;<50;1
EEI TURMINHA DO PUFF;Rua Padre Roque Gonzales, 474;Lomba Do Pinheiro ; 91570-170 Porto Alegre - RS;Privada;<50;1
EEI CRIARTE;Rua Roque Calage, 755;Passo Da Areia ; 91350-090 Porto Alegre - RS;Privada;<50;1
